,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,2879,22.39,-0.016928405954072683,0.6853605333047036,61.22360299917368,61.20667464916523,39.568931167553636,8.623705863952637,1.00119244601482,20000,878,0,6.946430444717407
1,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,3532,34.09,-0.017073561562201342,0.6593396175366182,68.23306510631855,68.21599138700046,62.23992082644732,7.5333709716796875,0.999273560826595,40000,1502,1,11.322862148284912
2,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,3835,62.0,-0.017212701951249097,0.6204355861131962,87.11301790384145,87.09580534910545,75.07783516492599,7.823184013366699,0.9998259327350518,60000,1834,2,15.64151668548584
3,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4025,110.97,-0.01272495777752155,0.5900178055732678,79.64591154440855,79.63318677070814,78.39423564275106,7.1041693687438965,0.9990277982675112,80000,2031,3,19.875782251358032
4,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4148,159.61,-0.009922131211258088,0.5719224851100873,50.30731464777237,50.29739264708299,78.75136354764302,6.837302207946777,1.0008675258129072,100000,2156,4,24.10365605354309
5,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4231,195.99,-0.010601654426696208,0.5558761155758148,39.690335647876445,39.679734056423875,69.23078868939326,5.713238716125488,0.9990695216716864,120000,2260,5,28.359110593795776
6,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4288,244.03,-0.008909319058203927,0.5510979096858929,60.83373652971708,60.8248270939558,77.44132533195692,5.417256832122803,1.0004901451942247,140000,2332,6,32.64241933822632
7,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4319,338.5,-0.0055177960956755735,0.5147789677366232,67.56206987087543,67.5565521704845,71.35387463080578,4.84410285949707,1.0001047213872274,160000,2380,7,37.04425239562988
8,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4348,405.39,-0.0020013040809247354,0.5091228606609198,72.74117294947307,72.73917161745902,70.71197211925801,4.023070812225342,0.9996974031130473,180000,2423,8,41.390597343444824
9,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4371,461.19,-0.0009158086204805818,0.4983226344753534,79.61159661610921,79.61068082956167,72.13403553840442,3.0141119956970215,1.000453832669136,200000,2466,9,45.751054763793945
10,/home/acthegreat/work/CS260R/Assignment 3/CartPole-v1/ppo,4393,463.54,-0.002302550160899185,0.48915324791883813,90.36140176332914,90.35909892840263,75.44929920343252,2.06584095954895,0.9999046991268794,220000,2511,10,50.069519996643066
