,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,data/,669,1.8806811942351342,1004,5,1.5002336502075195,,,,0.0
1,data/,674,1.8873203722005747,2009,10,2.978628158569336,,,,0.0
2,data/,673,2.0070588089473107,3014,15,4.4776451587677,,,,0.0
3,data/,673,1.9782171811992206,4019,20,5.9669389724731445,,,,0.0
4,data/,672,1.9764841264027928,5024,25,7.466030120849609,,,,0.0
5,data/,672,2.024161610192019,6029,30,8.966352224349976,,,,0.0
6,data/,671,2.067273898181953,7034,35,10.478948593139648,,,,0.0
7,data/,670,2.161486361794792,8039,40,11.995565414428711,,,,0.0
8,data/,670,2.137582175442166,9044,45,13.495230197906494,,,,0.0
